"","date","ccg_id","name","items","cost","list_size","covid_period"
"133","2018-05-01","Y58","SOUTH WEST COMMISSIONING REGION","90234","646753.11","5769210","pre-covid year 2"
"134","2018-06-01","Y56","LONDON COMMISSIONING REGION","67424","645562.36","9877698","pre-covid year 2"
"135","2018-06-01","Y59","SOUTH EAST COMMISSIONING REGION","105981","889817.99","9247806","pre-covid year 2"
"136","2018-06-01","Y60","MIDLANDS COMMISSIONING REGION","144262","1108901.78","11026097","pre-covid year 2"
"137","2018-06-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","89753","719991.53","6826738","pre-covid year 2"
"138","2018-06-01","Y62","NORTH WEST COMMISSIONING REGION","97816","780611.48","7439481","pre-covid year 2"
"139","2018-06-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","127977","941551.42","8941113","pre-covid year 2"
"140","2018-06-01","Y58","SOUTH WEST COMMISSIONING REGION","86030","606569.55","5773847","pre-covid year 2"
"141","2018-07-01","Y56","LONDON COMMISSIONING REGION","67260","595825.05","9893237","pre-covid year 2"
"142","2018-07-01","Y59","SOUTH EAST COMMISSIONING REGION","105133","837830.79","9253837","pre-covid year 2"
"143","2018-07-01","Y60","MIDLANDS COMMISSIONING REGION","138172","997685.96","11032808","pre-covid year 2"
"144","2018-07-01","Y62","NORTH WEST COMMISSIONING REGION","96116","710250.73","7443687","pre-covid year 2"
"145","2018-07-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","88349","658159.94","6833477","pre-covid year 2"
"146","2018-07-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","125436","864887.5","8943058","pre-covid year 2"
"147","2018-07-01","Y58","SOUTH WEST COMMISSIONING REGION","84815","589168.73","5777167","pre-covid year 2"
"148","2018-08-01","Y56","LONDON COMMISSIONING REGION","65388","626947.41","9911833","pre-covid year 2"
"149","2018-08-01","Y59","SOUTH EAST COMMISSIONING REGION","103400","908234.05","9262412","pre-covid year 2"
"150","2018-08-01","Y60","MIDLANDS COMMISSIONING REGION","136459","1059521.96","11041305","pre-covid year 2"
"151","2018-08-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","87299","703001.91","6840428","pre-covid year 2"
"152","2018-08-01","Y62","NORTH WEST COMMISSIONING REGION","96131","742151.89","7448698","pre-covid year 2"
"153","2018-08-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","124227","929154.75","8947340","pre-covid year 2"
"154","2018-08-01","Y58","SOUTH WEST COMMISSIONING REGION","82926","622566.07","5781484","pre-covid year 2"
"155","2018-09-01","Y56","LONDON COMMISSIONING REGION","65027","612391.8","9932380","pre-covid year 2"
"156","2018-09-01","Y59","SOUTH EAST COMMISSIONING REGION","103784","851548.28","9271342","pre-covid year 2"
"157","2018-09-01","Y60","MIDLANDS COMMISSIONING REGION","139253","1032999.72","11052155","pre-covid year 2"
"158","2018-09-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","87053","678299.47","6847891","pre-covid year 2"
